image,generated_answer,gt_answers,answer_type,match_count,accuracy
VizWiz_val_00001166.jpg,"A tube of sunscreen or sunblock lotion.,",unanswerable | lotion | unanswerable | unanswerable | body lotion | lotion | gold tube | unanswerable | make up | lotion,other,3,1.0
VizWiz_val_00001172.jpg,"This is a box of Stouffer's Fettuccini Alfredo.,",frozen dinner | stouffer fettuccini alfredo | stouffer | stouffer fettuccini alfredo | this stouffer signature classics fettuccini alfredo | fettuccini alfredo | fettucine alfredo | food | 1 package stouffer signature classics fettuccini alfredo | stouffers fettuccini alfredo,other,2,0.6667
VizWiz_val_00001180.jpg,"The DVD in the image is ""Shrek."",",shrek | shrek | shrek | shrek collection | shrek compilation | shrek | shrek | shrek collection | unanswerable | shrek,other,6,1.0
VizWiz_val_00001181.jpg,"A Nestlé Pure Life Purified Water bottle.,",nestle pure life water | nestle water | bottle | water | water bottle | water | water | nestle pure life water | water | water,other,7,1.0
VizWiz_val_00001183.jpg,"Budweiser beer bottles on a wooden table with newspapers in the background.,",beer bottles | beer | budweiser beer | beer | beer | 2 bottles budweiser beer | budweiser | bottle budweiser | beer | 2 beer bottles,other,7,1.0
VizWiz_val_00001184.jpg,"The image shows a bottle of ""Herbacin Artichoke Capsules"" with a label indicating that it contains 90 capsules.,",herbacil | artichoke capsules | artichoke capsules | artichoke capsules | artichoke capsules | capsules | artichoke capsules | artichoke capsules | artichoke capsules | artichoke capsules,other,9,1.0
VizWiz_val_00001186.jpg,"Canned soup,",soup | creme de celery soup | cream celery soup | celery | unanswerable | soup | soup | soup | cream celery soup | cream celery,other,4,1.0
VizWiz_val_00001190.jpg,"The soup in the image is a can of tomato soup.,",chef boyardee | unanswerable | raviolis | unanswerable | tomato | tomato | tomato | unanswerable | ravioli | tomato,other,4,1.0
VizWiz_val_00001191.jpg,"The flavor of the Chobani yogurt is not explicitly stated on the label.,",grapefruit | blood orange | blood orange | blood orange | orange | orange | blood orange | orange | orange | unanswerable,other,0,0.0
VizWiz_val_00001195.jpg,"The can in the image is a Pepsi can.,",pepsi can | pepsi | pepsi can | pepsi water | pepsi | soda | pepsi | pepsi | pepsi | pepsi,other,8,1.0
VizWiz_val_00001199.jpg,"The thermostat is set to a temperature of 72 degrees.,",72 | 72 | 72 | 72 degrees | 72 | 72 | 72 | 72 | 72 | 72,number,10,1.0
VizWiz_val_00001207.jpg,"A 1 watt LED aluminum flashlight by Lightmates.,",flashlight | flashlight | flashlight | flash light | 1 watt led aluminum flashlight | flashlight | flashlight | flash light | flashlight | flashlight,other,8,1.0
VizWiz_val_00001208.jpg,"The video game in the image is ""ESPN NFL 2K21."",",espn nfl 2k | football | nfl 2k | espn nfl 2k5 | espn 2k5 | espn 2k football | nfl 2k | football | nfl 2k | football,other,0,0.0
VizWiz_val_00001213.jpg,"A Lilly Pulitzer agenda notebook with a pink elephant pattern and the text ""Follow the Sun"" on it.,",notebook | planner | book | book | card | notebook | planner | notebook | lilly pulitzer agenda spiral | notebook,other,4,1.0
VizWiz_val_00001215.jpg,"A bottle of KC Masterpiece BBQ sauce, specifically labeled as ""Hickory Brown Sugar Kansas City."",",barbeque sauce | barbecue sauce | barbecue sauce | kc masterpiece hickory | bbq sauce | hickory brown sugar | bbq sauce | barbeque sauce | barbecue sauce | hickory barbecue sauce,other,3,1.0
VizWiz_val_00001216.jpg,"The book in the image is ""The Help,"" a novel by Kathryn Stockett.,",help | help | book | help | help | help | help | help | help | help,other,10,1.0
VizWiz_val_00001220.jpg,"The fragrance in the image is ""Perfect Strength."",",perfect strength | strength | perfect strength | perfect strength | perfect strength | perfect strength | perfect strength | perfect strength | perfect strength | perfect strength,other,10,1.0
VizWiz_val_00001224.jpg,"The jar in the picture contains mayonnaise.,",mayonnaise | salad dressing | mayonnaise | salad dressing | dressing | dressing | salad dressing | salad dressing | dressing | unanswerable,other,2,0.6667
VizWiz_val_00001234.jpg,"The bottle says ""OVAFLOW ADVANCED CELL THERAPY Hair Treatment Volume Strength Paraben Free."",",unanswerable | nation advanced cell therapy | advanced cell therapy | ovation advanced cell therapy | avatiqn | advanced cell therapy | unanswerable | ovation advanced cell therapy | unanswerable | unanswerable,other,2,0.6667
VizWiz_val_00001239.jpg,"The text currently being displayed on your screen is ""Delete Partition F3"".,",blue | blue screen | delete partition f3 | delete partition f3 | delete partition f3 | unanswerable | blue screen | delete partition f3 | delete partition f3 | yes displayed on my screen,other,5,1.0
VizWiz_val_00001242.jpg,"Special Lasagne,",lasagne | lasagne | special lasagne | lasagne | pecial lasagna | special lasagne | lasgne | lasagne | lasagna | lasagne,other,7,1.0
VizWiz_val_00001243.jpg,"An HP mouse.,",mouse | computer mouse | computer mouse | computer mouse | computer mouse | hp wired mouse | computer mouse | pc mouse | hp mouse | mouse,other,3,1.0
VizWiz_val_00001245.jpg,"A package of beef steak labeled ""Special Today"" from the grocery store ""Max Value."",",meat | beef steak | beef | package steak | meat | meat | unanswerable | beef steak | steak | meat,other,4,1.0
VizWiz_val_00001247.jpg,"The expiration date on the can is 02/2023.,",12 28 2013 | december 29th 2013 | dec 28 2013 | december 28 2013 | dec 28 2013 | dec 28 2013 | december 28 2013 | dec 28 2013 | december 28 2013 | dec 28 2013,other,0,0.0
VizWiz_val_00001258.jpg,"A PACmate BX400 Braille Display with a blue star on the top and the text ""JAWS"" on the right side.,",braille speech portable computer | im not sure all i can see omni pacmate bx400 jaws | keyboard | pacmate | braille writer | keyboard | unanswerable | keyboard | keyboard | pacmate bx400,other,2,0.6667
VizWiz_val_00001265.jpg,"The screen of the phone in the picture appears to be turned off or displaying a blank screen.,",no | no | unanswerable | unanswerable | no | no | no | no | no | no,yes/no,0,0.0
VizWiz_val_00001275.jpg,"The image shows a can of ""Baked Beans"" next to a bunch of bananas wrapped in plastic.,",baked beans | baked beans | baked beans | baked beans | baked beans | baked beans | baked beans | baked beans | baked beans | baked beans,other,10,1.0
VizWiz_val_00001284.jpg,"The candy bar in the image is a Rocky Mountain Wild Huckleberry Bar.,",rocky mountain | huckleberry | rocky mountain | rocky mountain | unanswerable | rocky mountain | rocky mountain chocolate bar | chocolate bar | rocky mountain | candy bar,other,7,1.0
VizWiz_val_00001286.jpg,"The image shows a pair of black Vans sneakers with white soles.,",black vans | shoes | shoes | vans shoes | vans shoes | shoes | shoes | shoes | black vans shoes | shoes,other,1,0.3333
VizWiz_val_00001287.jpg,"The image shows a package of ""Traditional Baked Turkey."",",frozen dinner | traditional baked turkey | turkey | turkey dinner | turkey | baked turkey | traditional baked turkey | turkey | traditional baked turkey | baked turkey,other,8,1.0
VizWiz_val_00001298.jpg,"A jar of Puck brand processed cream cheese spread.,",processed cream cheese spread | processed cream cheese spread | processed cream cheese spread | processed cream cheese spread | cream cheese spread | processed cream cheese spread | puck processed cream cheese spread | processed cream cheese spread | processed cream cheese spread | processed cream cheese spread,other,9,1.0
VizWiz_val_00001307.jpg,"The image shows a bottle of Coca-Cola.,",food club cola | cola | cola | generic brand cola regular | cola | cola | food club cola | cola | cola | cola,other,0,0.0
VizWiz_val_00001315.jpg,"The cough drops in the image are Premier Value Cough Drops.,",honey lemon | honey lemon | premier value honey lemon | honey lemon | honey lemon | honey lemon | honey lemon | premier value | honey lemon premier value brand | cough,other,2,0.6667
VizWiz_val_00001318.jpg,"Yes, this is a beer can.,",yes | yes | yes | yes | yes | yes | yes | drinks | yes | yes,yes/no,9,1.0
VizWiz_val_00001319.jpg,"The item in the image is a book titled ""Garden Retreat."",",no | unanswerable | wind chime | garden retreat | wind chimes | garden retreat | book | garden retreat by chime harmony | garden retreat chime harmony | garden retreat,other,4,1.0
VizWiz_val_00001327.jpg,"Ocean Spray Cranberry Juice,",ocean spray turn bottle over to front for more info | cranberry | grapefruit | grape | cranberry | ocean spray | cranberry | unanswerable | fdf | apple,other,4,1.0
VizWiz_val_00001332.jpg,"This bag says ""PREMIUM CROUTONS"" and ""NET WT 50 OZ 429"".,",croutons | premium croutons | croutons | premium croutons | premium croutons | premium croutons | croutons | premium croutons | premium croutons | premium croutons,other,10,1.0
VizWiz_val_00001335.jpg,"A yellow packet with text on it.,",unanswerable | wrapper | condom wrapper | this bill | condom wrapper | opened condom pack | open condom wrapper | condom wrapper | condom | unanswerable,other,0,0.0
VizWiz_val_00001339.jpg,"In this tin, there are chopped tomatoes.,",tomatoes | chopped tomatoes | chopped tomatoes | tomatoes | chopped tomatoes | tomatoes | canned tomatoes | tomatoes | chopped tomatoes | tomatoes,other,9,1.0
VizWiz_val_00001341.jpg,"The card in the picture is a Balance Rewards card from Target.,",balance rewards | unanswerable | balance rewards | balance rewards | unanswerable | walgreens | balance rewards card | balance rewards | balance rewards card | walgreens balance rewards,other,6,1.0
VizWiz_val_00001343.jpg,"This is a one-dollar bill from the United States. The image features the ""Eye of Providence"" symbol, which is a design on the front of the bill. The text around the pyramid reads ""ANNUIT COEPTIS"" and ""NOVUS ORDO SECLORUM THE GREAT SEAL."",",dollar bill | 1 dollar bill | dollar | 1 dollar bill | 1 | 1 dollar bill | dollar bill | $1 bill | 1 dollar bill | 1 us dollar bill,other,0,0.0
VizWiz_val_00001345.jpg,"The box contains Nature Valley crunchy granola bars.,",granola bar box | nature valley roasted almond granola bars | granola bars | nature valley | roasted almond granola bars | nature valley roasted almond granola bars | nature valley crunchy granola bars roasted almond flavor | granola bars | granola bars | roasted almond crunchy granola bars,other,4,1.0
VizWiz_val_00001346.jpg,"This is a Netgear Universal WiFi Adapter for Smart TV & Blu-ray.,",netgear | netgear wifi adapter | wi fi adapter | netgear wifi adapter | software | netgear | netgear universal wifi adapter for smart tv bluray | wifi adaptor | universal adapter for smart tv blu ray | universal wi fi,other,3,1.0
VizWiz_val_00001356.jpg,"The can in the image contains sliced carrots.,",sliced carrots | carrots | sliced carrots | can | carrots | sliced carrots | carrots | carrots | slice carrots | carrots,other,9,1.0
VizWiz_val_00001357.jpg,"The title of the book is ""The Word."",",word | word | word | word | word | word | unanswerable | word | word | word,other,9,1.0
VizWiz_val_00001362.jpg,"The nutrition facts label indicates that there is 1.25 grams of total fat in the serving size of the snack.,",8 g | g | g per serving 3 servings per container | 12% | 8 grams | g | g | g | 8 grams | 12%,other,0,0.0
VizWiz_val_00001366.jpg,"The frequency in the display is 50 Hz.,",unanswerable | 061 | unanswerable | digital | 06 | 90 | 90 | 90 | unanswerable | 98,number,0,0.0
VizWiz_val_00001369.jpg,"The bottle in the picture is a bottle of Mountain Dew.,",sports drink | juice bottle | plastic | plastic | unanswerable | unanswerable | plastic | unanswerable | water | unanswerable,other,0,0.0
VizWiz_val_00001376.jpg,"The book is called ""Tom Gates: Everything's Amazing (sort of)"" by L. Pichon.,",tom gates everythings amazing | everythings amazing sort | everythings amazing sort | everythings amazing | everything amazing | everythings amazing | book | everything amazing | erger | everythings amazing,other,7,1.0
VizWiz_val_00001379.jpg,"The flavor of Spark is Pink Lemonade.,",pink lemonade | pink lemonade | unanswerable | pink lemonade | unanswerable | pink lemonade | orange | strawberry | unanswerable | pink lemonade,other,5,1.0
VizWiz_val_00001388.jpg,"Bush's Secret Family Recipe Baked Beans,",beans | baked beans | beans | baked beans | bushs baked beans | can | can beans | bushs baked beans | baked beans | beans,other,6,1.0
VizWiz_val_00001392.jpg,"The box is from FedEx.,",fedex | fedex | fedex | table | fedex | fedex | fed ex | unanswerable | fedex | fedex,other,7,1.0
VizWiz_val_00001400.jpg,"Mountain Dew,",moutain dew code red | mountain dew code red | mountain dew | mountain dew: code red | code red | mountain dew | mountain dew code red | mountain dew code red | mountain dew code red | mountain dew,other,3,1.0
VizWiz_val_00001407.jpg,"MacBook Pro,",macbook pro | macbook pro | mac book pro | macbook pro | mac book pro | macbook pro | macbook pro | air book pro | macbookpro | macbook pro,other,6,1.0
VizWiz_val_00001408.jpg,"The oven temperature is 100 degrees.,",100 degrees | 100 degrees | 100‘ť | 100 | 100 degrees | 100 | 100 degrees | 100 | 100 | 100 degrees,other,9,1.0
VizWiz_val_00001409.jpg,"The text in the image reads ""pepsi"" and ""pepsi"".,",pepsi | pepsi soda | diet pepsi | diet pepsi | diet pepsi | pepsi | diet pepsi | pepsi diet | diet pepsi | diet pepsi,other,2,0.6667
VizWiz_val_00001413.jpg,"The cookies in the image are Double Stuf Oreo cookies.,",oreos | double stuff oreo | double stuff oreo | double stuffed oreos | double stuffed oreos | oreos | double stuf oreos | double stuff oreos | double stuffed oreos | double stuff oreo,other,0,0.0
VizWiz_val_00001415.jpg,"Yes, the can in the image is a can of beans.,",yes | yes | yes | yes | yes | yes | yes | yes | yes | yes,yes/no,10,1.0
VizWiz_val_00001416.jpg,"The item in the picture is a bottle of ""Mango & Papaya Balance Bath & Shower"" by Creightons.,",shampoo | bath shower gel | bath shower gel | bottle shower gel | mango papaya balance bath shower | mango papaya balance bath shower gel | body wash | mango papaya balance bath shower | mango papaya shower gel | mango pineapple bath shower gel,other,2,0.6667
VizWiz_val_00001417.jpg,"The image shows a box of ""Bleu Classic"" perfume by Dolce & Gabbana. The text on the box indicates that it is a men's fragrance.,",dolce gabbana cologne | fragrance | unanswerable | perfume | fragrance | cologne | perfume | bleu classic pour homme fragrance | bleu classic | dolce gabbana,other,6,1.0
VizWiz_val_00001423.jpg,"The remote control in the picture is an LG brand.,",unanswerable | lg | lg | lg | lg | lg | lg | lg | lg | lg,other,9,1.0
VizWiz_val_00001424.jpg,"The gift card is from Bath & Body Works.,",bath body works gift card | bath body works gift card | ef | black blue | bath body works | blue bath body works gift card | bath&body works | bath body works | bath body works | bath body works,other,4,1.0
VizWiz_val_00001426.jpg,"This is a bottle of ""Spot Shot"" carpet stain remover.,",stain odor eliminator | spot shot carpet | bottle disinfectant | spot shot | carpet stain remover | spot shot | cleaner | cleaner | spot shout | spot shot,other,5,1.0
VizWiz_val_00001428.jpg,"The flavor of the Nature Valley Sweet & Salty Nut Granola Bars is Dark Chocolate, Peanut, and Almond.,",dark chocolate peanut almond | dark chocolate peanut almond | dark chocolate peanut almond | dark chocolate peanut almond | dark chocolate peanut almond | dark chocolate peanut almond | chocolate | dark chocolate peanut almonds | dark chocolate peanut almond | dark chocolate peanut almond,other,1,0.3333
VizWiz_val_00001434.jpg,"The image shows a box for a tablet device. The text on the box reads ""CyberPad"" and includes a picture of a tablet with a stylus.,",cyberpad | cyberpad | no | cyberpad 4th generation | cyber pad | cyberpad | no | yes | cyberpad | 4.3 tablet pc,other,4,1.0
VizWiz_val_00001439.jpg,"The text on the image reads: ""476938 MB (476064 MB free) on disk [MBR]. Has the formatting finished?"",",no | unanswerable | no | no | no | no | no | no | no | no,yes/no,0,0.0
VizWiz_val_00001446.jpg,"The can contains whole kernel corn.,",corn | corn | unanswerable | whole kernel corn | corn | corn | corn | corn | corn | corn kernels,other,8,1.0
VizWiz_val_00001447.jpg,"The title of the book is ""The Seventies."",",seventies | cd | seventies | seventies | seventies | seventies | seventies | seventies | framed picture | seventies,other,8,1.0
VizWiz_val_00001450.jpg,"The temperature displayed on the device is 50 degrees.,",no | unanswerable | unanswerable | no | no | no | unable to see full image ends in 50 | no | no | no,yes/no,0,0.0
VizWiz_val_00001451.jpg,"The can contains ingredients such as tomatoes, tomato juice, soybean oil, sugar, salt, dried onion, dried garlic, spices, calcium chloride, citric acid, and natural flavors.,",tomatoes | vegetables | tomato sauce onion spices | no | no | tomatoes | tomatoes | unanswerable | tomato sauce | unanswerable,other,3,1.0
VizWiz_val_00001460.jpg,"This is a Timothys Hazelnut Velouté Noisette medium roast coffee.,",hazelnut | hazelnut | hazelnut | hazelnut | hazelnut | hazelnut noisette | hazelnut | hazelnut | hazelnut | hazelnut,other,9,1.0
VizWiz_val_00001465.jpg,"The text on the red shirt reads ""HEAT."",",no place in center | yes | yes | unanswerable | yes | yes | yes | yes | yes | yes,yes/no,0,0.0
